model,alpha,ndcg,SEP
PGPR,0.0000,0.1130,0.5688
PGPR,0.0500,0.1126,0.8158
PGPR,0.1000,0.1126,0.8537
PGPR,0.1500,0.1108,0.8810
PGPR,0.2000,0.1097,0.8997
PGPR,0.2500,0.1084,0.9132
PGPR,0.3000,0.1076,0.9238
PGPR,0.3500,0.1070,0.9330
PGPR,0.4000,0.1062,0.9409
PGPR,0.4500,0.1055,0.9478
PGPR,0.5000,0.1041,0.9539
PGPR,0.5500,0.1028,0.9598
PGPR,0.6000,0.0996,0.9657
PGPR,0.6500,0.0935,0.9710
PGPR,0.7000,0.0901,0.9750
PGPR,0.7500,0.0888,0.9782
PGPR,0.8000,0.0875,0.9809
PGPR,0.8500,0.0850,0.9833
PGPR,0.9000,0.0814,0.9853
PGPR,0.9500,0.0762,0.9870
PGPR,1.0000,0.0676,0.9877
UCPR,0.0000,0.1256,0.5170
UCPR,0.0500,0.1258,0.7669
UCPR,0.1000,0.1265,0.7980
UCPR,0.1500,0.1273,0.8251
UCPR,0.2000,0.1278,0.8472
UCPR,0.2500,0.1289,0.8641
UCPR,0.3000,0.1292,0.8772
UCPR,0.3500,0.1290,0.8874
UCPR,0.4000,0.1293,0.8955
UCPR,0.4500,0.1299,0.9025
UCPR,0.5000,0.1299,0.9083
UCPR,0.5500,0.1296,0.9133
UCPR,0.6000,0.1298,0.9175
UCPR,0.6500,0.1301,0.9212
UCPR,0.7000,0.1303,0.9243
UCPR,0.7500,0.1307,0.9269
UCPR,0.8000,0.1314,0.9292
UCPR,0.8500,0.1295,0.9310
UCPR,0.9000,0.1282,0.9324
UCPR,0.9500,0.1261,0.9332
UCPR,1.0000,0.1238,0.9336
CAFE,0.0000,0.1019,0.7308
CAFE,0.0500,0.0971,0.9233
CAFE,0.1000,0.0953,0.9598
CAFE,0.1500,0.0931,0.9731
CAFE,0.2000,0.0910,0.9793
CAFE,0.2500,0.0900,0.9824
CAFE,0.3000,0.0889,0.9839
CAFE,0.3500,0.0884,0.9850
CAFE,0.4000,0.0876,0.9857
CAFE,0.4500,0.0870,0.9863
CAFE,0.5000,0.0868,0.9869
CAFE,0.5500,0.0864,0.9873
CAFE,0.6000,0.0861,0.9876
CAFE,0.6500,0.0857,0.9879
CAFE,0.7000,0.0852,0.9882
CAFE,0.7500,0.0848,0.9884
CAFE,0.8000,0.0842,0.9886
CAFE,0.8500,0.0839,0.9888
CAFE,0.9000,0.0834,0.9889
CAFE,0.9500,0.0827,0.9890
CAFE,1.0000,0.0822,0.9890
TPRec,0.0000,0.1196,0.5499
TPRec,0.0500,0.1216,0.7269
TPRec,0.1000,0.1239,0.7804
TPRec,0.1500,0.1251,0.8139
TPRec,0.2000,0.1257,0.8365
TPRec,0.2500,0.1255,0.8529
TPRec,0.3000,0.1242,0.8653
TPRec,0.3500,0.1227,0.8748
TPRec,0.4000,0.1221,0.8824
TPRec,0.4500,0.1210,0.8886
TPRec,0.5000,0.1195,0.8936
TPRec,0.5500,0.1174,0.8978
TPRec,0.6000,0.1171,0.9014
TPRec,0.6500,0.1159,0.9044
TPRec,0.7000,0.1150,0.9068
TPRec,0.7500,0.1132,0.9088
TPRec,0.8000,0.1111,0.9104
TPRec,0.8500,0.1082,0.9117
TPRec,0.9000,0.1066,0.9126
TPRec,0.9500,0.1054,0.9131
TPRec,1.0000,0.1034,0.9132
KGGLM,0.0000,0.0203,0.6963
KGGLM,0.0500,0.0203,0.6994
KGGLM,0.1000,0.0203,0.6999
KGGLM,0.1500,0.0203,0.7000
KGGLM,0.2000,0.0203,0.7001
KGGLM,0.2500,0.0203,0.7005
KGGLM,0.3000,0.0203,0.7007
KGGLM,0.3500,0.0203,0.7011
KGGLM,0.4000,0.0203,0.7048
KGGLM,0.4500,0.0203,0.7066
KGGLM,0.5000,0.0203,0.7068
KGGLM,0.5500,0.0203,0.7079
KGGLM,0.6000,0.0202,0.7152
KGGLM,0.6500,0.0202,0.7169
KGGLM,0.7000,0.0203,0.7175
KGGLM,0.7500,0.0203,0.7177
KGGLM,0.8000,0.0203,0.7178
KGGLM,0.8500,0.0202,0.7185
KGGLM,0.9000,0.0202,0.7186
KGGLM,0.9500,0.0202,0.7187
KGGLM,1.0000,0.0202,0.7187
PEARLM,0.0000,0.0153,0.5267
PEARLM,0.0500,0.0151,0.5828
PEARLM,0.1000,0.0150,0.5917
PEARLM,0.1500,0.0151,0.5970
PEARLM,0.2000,0.0150,0.6013
PEARLM,0.2500,0.0149,0.6040
PEARLM,0.3000,0.0149,0.6059
PEARLM,0.3500,0.0149,0.6074
PEARLM,0.4000,0.0148,0.6084
PEARLM,0.4500,0.0148,0.6090
PEARLM,0.5000,0.0147,0.6095
PEARLM,0.5500,0.0147,0.6098
PEARLM,0.6000,0.0146,0.6101
PEARLM,0.6500,0.0146,0.6102
PEARLM,0.7000,0.0146,0.6104
PEARLM,0.7500,0.0146,0.6104
PEARLM,0.8000,0.0145,0.6105
PEARLM,0.8500,0.0145,0.6106
PEARLM,0.9000,0.0145,0.6106
PEARLM,0.9500,0.0145,0.6106
PEARLM,1.0000,0.0145,0.6106
