model,alpha,recall,LIR
PGPR,0.0000,0.0161,0.0082
PGPR,0.0500,0.0161,0.0128
PGPR,0.1000,0.0161,0.0161
PGPR,0.1500,0.0161,0.0179
PGPR,0.2000,0.0161,0.0193
PGPR,0.2500,0.0161,0.0201
PGPR,0.3000,0.0161,0.0204
PGPR,0.3500,0.0161,0.0206
PGPR,0.4000,0.0161,0.0206
PGPR,0.4500,0.0161,0.0207
PGPR,0.5000,0.0161,0.0207
PGPR,0.5500,0.0161,0.0208
PGPR,0.6000,0.0161,0.0208
PGPR,0.6500,0.0161,0.0208
PGPR,0.7000,0.0161,0.0208
PGPR,0.7500,0.0161,0.0209
PGPR,0.8000,0.0161,0.0209
PGPR,0.8500,0.0161,0.0209
PGPR,0.9000,0.0161,0.0209
PGPR,0.9500,0.0161,0.0209
PGPR,1.0000,0.0137,0.0209
UCPR,0.0000,0.0147,0.0038
UCPR,0.0500,0.0147,0.0067
UCPR,0.1000,0.0147,0.0071
UCPR,0.1500,0.0147,0.0073
UCPR,0.2000,0.0147,0.0074
UCPR,0.2500,0.0147,0.0075
UCPR,0.3000,0.0147,0.0075
UCPR,0.3500,0.0147,0.0075
UCPR,0.4000,0.0147,0.0076
UCPR,0.4500,0.0147,0.0076
UCPR,0.5000,0.0147,0.0076
UCPR,0.5500,0.0147,0.0076
UCPR,0.6000,0.0147,0.0076
UCPR,0.6500,0.0147,0.0076
UCPR,0.7000,0.0147,0.0076
UCPR,0.7500,0.0147,0.0076
UCPR,0.8000,0.0147,0.0076
UCPR,0.8500,0.0147,0.0076
UCPR,0.9000,0.0147,0.0076
UCPR,0.9500,0.0147,0.0076
UCPR,1.0000,0.0134,0.0076
